poi_id,poi_name,poi_geometry,poi_lat,poi_lng,poi_cate,is_area,parent_poi_id,frame_n_total,is_focal
102.0,Central Building,POINT (114.1573655 22.2811499),22.2811499,114.1573655,city,0,,3,0
103.0,Central Ferry Pier,POINT (114.1613751 22.286342),22.286342,114.1613751,transit,0,,70,0
104.0,Central Market,POINT (114.1556287 22.2843902),22.2843902,114.1556287,shopping,0,,114,1
105.0,Central Rd,POINT (113.9094227 22.4118599),22.4118599,113.9094227,city,0,,1,0
106.0,Central Station,POINT (114.1576766 22.2819989),22.2819989,114.1576766,transit,0,,37,0
107.0,Central and Western District Promenade,POINT (114.1661722 22.2830932),22.2830932,114.1661722,city,0,,3,0
108.0,Central-Mid-Levels Escalators,POINT (114.1549689 22.2838464),22.2838464,114.1549689,city,0,,105,1
109.0,Centrestage,POINT (114.1510558 22.2837076),22.2837076,114.1510558,city,0,,4,0
110.0,Cha Don,POINT (114.1721378 22.3077463),22.3077463,114.1721378,dining,0,,2,0
111.0,ChaTraMue,POINT (114.1708201 22.3158374),22.3158374,114.1708201,dining,0,,4,0
112.0,Chai Wan,POINT (114.2360778 22.2678103),22.2678103,114.2360778,area,0,,21,0
113.0,Chai Wan Park,POINT (114.2384456 22.2666664),22.2666664,114.2384456,city,0,,15,0
114.0,Chai Wan Rd,POINT (114.23378 22.2698192),22.2698192,114.23378,city,0,,1,0
115.0,Chai Wan Station,POINT (114.237139 22.264625),22.264625,114.237139,transit,0,,8,0
116.0,Che Kung Temple Station,POINT (114.185953 22.37476),22.37476,114.185953,transit,0,,2,0
117.0,Check Inn HK,POINT (114.1769881 22.2782412),22.2782412,114.1769881,hotel,0,,1,0
118.0,Chek Lap Kok,POINT (113.923907 22.3083934),22.3083934,113.923907,natural,0,,8,0
119.0,Cheung Chau,POINT (114.0265007 22.2016179),22.2016179,114.0265007,natural,0,,189,1
120.0,Cheung Chau Beach Rd,POINT (114.030706 22.2092774),22.2092774,114.030706,city,0,,5,0
121.0,Cheung Chau Corner,POINT (114.0289423 22.2093396),22.2093396,114.0289423,dining,0,,1,0
122.0,Cheung Hing Coffee Shop,POINT (114.1849949 22.2693517),22.2693517,114.1849949,dining,0,,30,0
123.0,Cheung Hing Kee Shanghai Pan Fried Buns,POINT (114.1716428 22.2976589),22.2976589,114.1716428,dining,0,,125,1
124.0,Cheung Hing Restaurant,POINT (114.1698565 22.277828),22.277828,114.1698565,dining,0,,1,0
125.0,Cheung Kong Center,POINT (114.1603101 22.2794704),22.2794704,114.1603101,city,0,,12,0
126.0,Cheung Kong Park,POINT (114.1600909 22.279097),22.279097,114.1600909,city,0,,3,0
127.0,Cheung Lai St,POINT (114.1480248 22.3365966),22.3365966,114.1480248,city,0,,2,0
128.0,Chi Lin Nunnery,POINT (114.2050575 22.340498),22.340498,114.2050575,religion,0,,67,0
129.0,China Club HK,POINT (114.1601909 22.2802075),22.2802075,114.1601909,dining,0,,3,0
130.0,China Ferry Terminal,POINT (114.1648071 22.2987925),22.2987925,114.1648071,transit,0,,6,0
131.0,China Hong Kong City,POINT (114.1678015 22.3005315),22.3005315,114.1678015,shopping,0,,7,0
132.0,China Visa Application Service Center,POINT (114.1772835 22.2794349),22.2794349,114.1772835,city,0,,1,0
133.0,Ching Ching Desserts,POINT (114.1738926 22.2748136),22.2748136,114.1738926,dining,0,,1,0
135.0,Chiu Fat Porridge Noodle Restaurant,POINT (114.1714454 22.2970651),22.2970651,114.1714454,dining,0,,6,0
137.0,Choi Hung Estate,POINT (114.2056135 22.3360834),22.3360834,114.2056135,city,0,,93,0
138.0,Choi Hung Estate Rooftop Basketball Court,POINT (114.2071925 22.3345262),22.3345262,114.2071925,sport,0,,10,0
139.0,Choi Hung Station,POINT (114.210056 22.334206),22.334206,114.210056,transit,0,,8,0
140.0,ChorLand Cookfood Stall,POINT (114.1338663 22.2860832),22.2860832,114.1338663,dining,0,,1,0
141.0,Chuen Kee Seafood Restaurant,POINT (114.2724614 22.379719),22.379719,114.2724614,dining,0,,2,0
143.0,Chukfo Taipan Restaurant,POINT (114.1743343 22.2762154),22.2762154,114.1743343,dining,0,,35,0
144.0,Chung Hing St,POINT (114.0274569 22.2047639),22.2047639,114.0274569,city,0,,4,0
145.0,Chungking Mansions,POINT (114.1723905 22.2963031),22.2963031,114.1723905,city,0,,153,1
146.0,Citygate Outlets,POINT (113.9412938 22.289733),22.289733,113.9412938,shopping,0,,158,1
147.0,Cityplaza,POINT (114.217477 22.286721),22.286721,114.217477,shopping,0,,5,0
148.0,Citywalk,POINT (114.1145597 22.3679811),22.3679811,114.1145597,shopping,0,,1,0
149.0,Clear Water Bay,POINT (114.2940282 22.2851406),22.2851406,114.2940282,natural,0,,3,0
150.0,Clock Tower,POINT (114.1695528 22.2935624),22.2935624,114.1695528,cultural,0,,366,1
151.0,Cococabana,POINT (114.250984 22.229331),22.229331,114.250984,dining,0,,3,0
152.0,Coffee & Laundry,POINT (114.147068 22.2872986),22.2872986,114.147068,dining,0,,2,0
153.0,Color Space,POINT (114.1687442 22.3179137),22.3179137,114.1687442,shopping,0,,2,0
154.0,Conrad Hong Kong,POINT (114.1654058 22.2766755),22.2766755,114.1654058,hotel,0,,7,0
155.0,Cordis,POINT (114.168112 22.318175),22.318175,114.168112,hotel,0,,30,0
156.0,Craft Coffee Roaster,POINT (114.1618893 22.3192387),22.3192387,114.1618893,dining,0,,3,0
157.0,Cross Harbour Tunl,POINT (114.1819044 22.2918821),22.2918821,114.1819044,transit,0,,14,0
158.0,Cruise Restaurant & Bar,POINT (114.1990203 22.2927951),22.2927951,114.1990203,dining,0,,11,0
159.0,Crystal Lotus,POINT (114.043762 22.30792),22.30792,114.043762,dining,0,,10,0
160.0,Cupnoodles Museum,POINT (114.1677848 22.3005346),22.3005346,114.1677848,cultural,0,,56,0
161.0,Cyberport,POINT (114.1302279 22.2619981),22.2619981,114.1302279,shopping,0,,3,0
162.0,D'Aguilar St,POINT (114.1556464 22.2811911),22.2811911,114.1556464,city,0,,1,0
163.0,DON DON DONKI,POINT (114.1549433 22.2833443),22.2833443,114.1549433,shopping,0,,61,0
164.0,DON DON DONKI ,POINT (114.172355 22.3003007),22.3003007,114.172355,shopping,0,,4,0
165.0,DOZY Café,POINT (114.1630916 22.3278266),22.3278266,114.1630916,dining,0,,6,0
166.0,Danish Bakery,POINT (114.1862209 22.2777852),22.2777852,114.1862209,dining,0,,3,0
167.0,David Chan Co,POINT (114.1732086 22.3008364),22.3008364,114.1732086,shopping,0,,5,0
168.0,Davis St,POINT (114.1268132 22.2825477),22.2825477,114.1268132,city,0,,22,0
169.0,Deli-O,POINT (114.1520234 22.2878936),22.2878936,114.1520234,dining,0,,3,0
170.0,Demon Grove,POINT (114.172587 22.2330736),22.2330736,114.172587,entertainment,0,,1,0
171.0,Des Voeux Rd,POINT (114.1402116 22.2877898),22.2877898,114.1402116,city,0,,3,0
172.0,Des Voeux Rd Central,POINT (114.1563306 22.2837635),22.2837635,114.1563306,city,0,,13,0
173.0,Diamond Hill,POINT (114.2 22.35),22.35,114.2,outdoor,0,,35,0
174.0,Diamond Hill Station,POINT (114.201698 22.340017),22.340017,114.201698,transit,0,,4,0
175.0,Dim Dim Sum,POINT (114.1705308 22.3200318),22.3200318,114.1705308,dining,0,,19,0
176.0,Dim Sum Here,POINT (114.1698291 22.3037815),22.3037815,114.1698291,dining,0,,16,0
177.0,Dim Sum Library,POINT (114.1653074 22.2768712),22.2768712,114.1653074,dining,0,,1,0
178.0,Dim Sum Square,POINT (114.1512932 22.2848766),22.2848766,114.1512932,dining,0,,3,0
179.0,Disney Explorers Lodge,POINT (114.0386053 22.3081634),22.3081634,114.0386053,hotel,0,,123,1
180.0,Disney's Hollywood Hotel,POINT (114.0440642 22.3081194),22.3081194,114.0440642,hotel,0,,1177,1
181.0,Dolphin Explorations,POINT (114.1708073 22.233415),22.233415,114.1708073,entertainment,0,,1,0
182.0,Dorsett Wanchai,POINT (114.178936 22.274559),22.274559,114.178936,hotel,0,,4,0
183.0,Dr Sun Yat-sen Museum,POINT (114.1508983 22.2820287),22.2820287,114.1508983,cultural,0,,12,0
184.0,Dragon Boat Restaurant,POINT (114.2729645 22.3806591),22.3806591,114.2729645,dining,0,,2,0
185.0,Dragon Centre,POINT (114.1598202 22.3310175),22.3310175,114.1598202,shopping,0,,10,0
186.0,Dragon City Café,POINT (114.1697516 22.3195969),22.3195969,114.1697516,dining,0,,4,0
187.0,Dragon State Kitchen Restaurant,POINT (114.1516 22.2857301),22.2857301,114.1516,dining,0,,2,0
188.0,Dragon Wind,POINT (114.038465 22.30769),22.30769,114.038465,dining,0,,14,0
189.0,Dragon's Back,POINT (114.2432252 22.2369295),22.2369295,114.2432252,outdoor,0,,115,1
190.0,Dragonfly,POINT (114.1541828 22.2810867),22.2810867,114.1541828,dining,0,,4,0
191.0,Dragonking Dim Sum,POINT (114.1771674 22.2782978),22.2782978,114.1771674,dining,0,,9,0
192.0,Duddell's,POINT (114.1572301 22.280245),22.280245,114.1572301,dining,0,,10,0
193.0,Dynasty,POINT (114.1735622 22.281514),22.281514,114.1735622,dining,0,,2,0
194.0,E Point Rd,POINT (114.1847822 22.2804865),22.2804865,114.1847822,city,0,,3,0
195.0,EAST Hong Kong,POINT (114.2360778 22.2733889),22.2733889,114.2360778,hotel,0,,1,0
