poi_id,poi_name,poi_cate,journey_n_total,stop_n_total,avg_stop_sentiment,frame_n_total,is_focal,top_market,top_inbound_poi_id,top_inbound_poi_name,top_outbound_poi_id,top_outbound_poi_name,top_companion_poi_id,top_companion_poi_name,city_sentiment_rank,category_sentiment_rank
426.0,Kwun Tong,area,28,30,0.5688459607772529,33,0,TW,404.0,Kowloon,428.0,Kwun Tong Public Pier,101.0,Central,,
333.0,Hung Hom,area,24,25,0.5487466260930524,33,0,TH,96.0,Causeway Bay,506.0,Man Mo Temple,907.0,Tsim Sha Tsui,,
805.0,Tai O Bakery,Dining,23,24,0.8015893118249046,33,0,TH,804.0,Tai O,804.0,Tai O,804.0,Tai O,,
731.0,Sister Wah Beef Brisket,Dining,17,18,0.7947160339138161,33,0,PH,123.0,Cheung Hing Kee Shanghai Pan Fried Buns,221.0,Fook Yuen,46.0,Bakehouse (Wan Chai),,
832.0,Tei Mou Koon Dessert,Dining,13,15,0.9009025782346726,33,0,TW,406.0,Kowloon City,406.0,Kowloon City,406.0,Kowloon City,,
669.0,Rosewood,Hotel,12,13,0.8289102185540292,33,0,US,37.0,Avenue Of Stars,539.0,Mondrian,874.0,The Peninsula,,
168.0,Davis St,Cityscape,25,25,0.48636595289409157,32,0,TH,300.0,Hong Kong International Airport,296.0,Hong Kong Disneyland,300.0,Hong Kong International Airport,,
175.0,Dim Dim Sum,Dining,27,27,0.656342436456018,31,0,PH,540.0,Mong Kok,123.0,Cheung Hing Kee Shanghai Pan Fried Buns,46.0,Bakehouse (Wan Chai),,
612.0,Pacific Place,Shopping,27,27,0.6564607453865954,31,0,PH,296.0,Hong Kong Disneyland,295.0,Hong Kong Cultural Centre,296.0,Hong Kong Disneyland,,
267.0,Hankow Rd,Cityscape,25,26,0.4365322235971689,31,0,TH,300.0,Hong Kong International Airport,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
343.0,Hysan Place,Shopping,25,26,0.5519043624233932,31,0,ID,96.0,Causeway Bay,886.0,Times Square,96.0,Causeway Bay,,
329.0,Hopewell Centre,Cityscape,17,17,0.5537576638475186,31,0,PH,946.0,Victoria Peak,850.0,The Grand Buffet,850.0,The Grand Buffet,,
112.0,Chai Wan,area,28,29,0.4018396307425252,30,0,TH,300.0,Hong Kong International Airport,296.0,Hong Kong Disneyland,300.0,Hong Kong International Airport,,
802.0,Tai Long Wan,Natural,25,29,0.8179357825168247,30,0,PH,817.0,Tai Tam,296.0,Hong Kong Disneyland,803.0,Tai Mo Shan,,
614.0,Panda Hotel,Hotel,18,18,0.5547202701300935,30,0,PH,300.0,Hong Kong International Airport,296.0,Hong Kong Disneyland,300.0,Hong Kong International Airport,,
980.0,Whampoa,area,18,20,0.40109264343045653,30,0,PH,272.0,Harbour Grand,272.0,Harbour Grand,300.0,Hong Kong International Airport,,
463.0,Lin Heung Kui,Dining,16,16,0.6848299102857709,30,0,AU,1010.0,Yat Lok Restaurant,263.0,Halfway Coffee,300.0,Hong Kong International Airport,,
1011.0,Yat Tung Heen,Dining,12,13,0.7204808936828476,30,0,TH,36.0,Australia Dairy Company,46.0,Bakehouse (Wan Chai),944.0,Victoria Harbour,,
951.0,Villepin,Cultural,27,27,0.8517205030829819,29,0,JP,506.0,Man Mo Temple,46.0,Bakehouse (Wan Chai),300.0,Hong Kong International Airport,,
213.0,Fashion Walk,Shopping,21,21,0.6910442267500219,29,0,ID,96.0,Causeway Bay,96.0,Causeway Bay,96.0,Causeway Bay,,
30.0,ArtLane,Cultural,20,21,0.8437568003696109,29,0,TH,683.0,Sai Ying Pun,291.0,Hollywood Rd,944.0,Victoria Harbour,,
258.0,HSBC Building,Cityscape,27,27,0.3276690988180538,28,0,PH,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,,
176.0,Dim Sum Here,Dining,23,23,0.8122969999693442,28,0,TH,36.0,Australia Dairy Company,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
331.0,Hotel ICON,Hotel,17,17,0.7801767055894815,28,0,TH,300.0,Hong Kong International Airport,977.0,West Kowloon Cultural District,459.0,Lee Tung Avenue,,
89.0,Capital Café,Dining,12,14,0.7760393298009322,28,0,SG,123.0,Cheung Hing Kee Shanghai Pan Fried Buns,377.0,Kam's Roast Goose,46.0,Bakehouse (Wan Chai),,
435.0,Ladies Street Sik Faan Co.,Dining,7,7,0.8060103222372986,28,0,SG,464.0,Lin Heung Lau,296.0,Hong Kong Disneyland,101.0,Central,,
772.0,Sun Heung Yuen,Dining,7,7,0.7320168421736785,28,0,ID,418.0,Kung Wo Beancurd Factory,23.0,Apliu St,96.0,Causeway Bay,,
638.0,Prince's Building,Cityscape,25,25,0.5151063613593578,27,0,PH,296.0,Hong Kong Disneyland,101.0,Central,296.0,Hong Kong Disneyland,,
250.0,Grand Plaza,Shopping,24,25,0.5867456547543406,27,0,PH,336.0,Hung Hom Station,913.0,Tsing Ma Bridge,946.0,Victoria Peak,,
831.0,Tarzan's Treehouse,Entertainment,21,21,0.800607855357821,27,0,PH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
382.0,Kau Kee,Dining,20,20,0.5835707169647019,27,0,TW,46.0,Bakehouse (Wan Chai),36.0,Australia Dairy Company,101.0,Central,,
878.0,The Royal Garden,Hotel,18,18,0.6541285566867344,27,0,TH,296.0,Hong Kong Disneyland,540.0,Mong Kok,296.0,Hong Kong Disneyland,,
268.0,Hanoi Rd,Cityscape,16,18,0.4855688400221644,27,0,VN,260.0,Haiphong Rd,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,,
575.0,New Territories,area,12,13,0.5675602318671269,27,0,TH,23.0,Apliu St,411.0,Kowloon Station,300.0,Hong Kong International Airport,,
498.0,Main Street Bakery,Dining,24,24,0.9067576991187202,26,0,PH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
968.0,Wan Chai Station,Transit,20,20,0.29044201044986645,26,0,PH,296.0,Hong Kong Disneyland,364.0,K11 MUSEA,300.0,Hong Kong International Airport,,
821.0,Tai Wai,area,19,19,0.49715927906595825,26,0,TH,101.0,Central,696.0,Sha Tin Che Kung Temple,101.0,Central,,
231.0,Fu Wah Café,Dining,14,14,0.8040750832075164,26,0,TH,296.0,Hong Kong Disneyland,74.0,CHAGEE,296.0,Hong Kong Disneyland,,
960.0,Wai Kee Halal restaurant,Dining,13,13,0.6609337205306077,26,0,ID,408.0,Kowloon Park,514.0,Masjid Ammar and Osman Ramju Sadick Islamic Centre,514.0,Masjid Ammar and Osman Ramju Sadick Islamic Centre,,
172.0,Des Voeux Rd Central,Cityscape,21,22,0.45987127541395073,25,0,PH,101.0,Central,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,,
949.0,Victoria Prison,Cultural,15,15,0.21284626690256925,25,0,ID,101.0,Central,800.0,Tai Kwun,800.0,Tai Kwun,,
657.0,Regal Airport Hotel ,Hotel,14,16,0.48136585982865654,25,0,TH,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,,
881.0,The Stellar Hotel & Serviced Apartments,Hotel,2,2,0.4342538720617692,25,0,TW,,,,,,,,
621.0,Peninsula - The Arcade,Shopping,21,21,0.5688105304355895,24,0,PH,874.0,The Peninsula,874.0,The Peninsula,874.0,The Peninsula,,
973.0,Wellington St,Cityscape,21,21,0.653895919344255,24,0,TH,896.0,Tommy Yummy,123.0,Cheung Hing Kee Shanghai Pan Fried Buns,101.0,Central,,
