video_date,poi_id,poi_name,poi_cate,journey_n,stop_n,avg_stop_sentiment,inbound_n,outbound_n
2023-01-04,3.0,1881 Heritage,shopping,1,1,0.8967849910259247,0,0
2023-01-07,675.0,SOGO,shopping,1,1,0.7127214074134827,0,0
2023-01-13,426.0,Kwun Tong,area,1,1,0.6032944917678833,0,1
2023-01-13,503.0,Mak's Noodle,dining,1,1,0.7974225282669067,1,0
2023-01-13,771.0,Sum Hung Cuisine,dining,1,1,0.0185371842235326,1,1
2023-01-13,873.0,The Peak Tram,entertainment,1,1,0.8604557514190674,1,0
2023-01-13,973.0,Wellington St,city,1,1,0.9568541049957277,0,1
2023-01-14,135.0,Chiu Fat Porridge Noodle Restaurant,dining,1,1,0.6034374833106995,1,0
2023-01-14,300.0,Hong Kong International Airport,transit,1,1,0.4325665943324566,0,1
2023-01-14,913.0,Tsing Ma Bridge,city,1,1,0.4191017150878906,1,1
2023-01-15,12.0,Aberdeen,area,1,1,0.9653413891792297,0,1
2023-01-15,17.0,Adventureland,entertainment,1,1,0.9313735961914062,1,1
2023-01-15,96.0,Causeway Bay,area,1,1,0.9796608090400696,1,0
2023-01-15,296.0,Hong Kong Disneyland,entertainment,1,2,0.9171135261654854,1,1
2023-01-15,300.0,Hong Kong International Airport,transit,1,1,0.1421921650568644,0,1
2023-01-15,584.0,Ngong Ping Village,cultural,1,1,0.7824760675430298,1,1
2023-01-15,629.0,Po Lin Monastery,religion,1,2,0.610418947506696,1,1
2023-01-15,702.0,Sham Shui Po Government Primary School,school,1,1,0.0266338400542736,1,0
2023-01-16,434.0,LOUIS VUITTON,shopping,1,1,0.0373993068933486,0,0
2023-01-17,296.0,Hong Kong Disneyland,entertainment,1,1,0.8311187691158719,1,1
2023-01-17,300.0,Hong Kong International Airport,transit,1,2,0.2755309243996938,1,1
2023-01-17,743.0,South Horizons,city,1,1,0.8935762643814087,0,1
2023-01-17,834.0,Temple Street Night Market,shopping,1,1,0.8840390682220459,1,0
2023-01-18,12.0,Aberdeen,area,1,1,0.6112340005735556,0,0
2023-01-18,300.0,Hong Kong International Airport,transit,1,1,0.07623946666717529,1,0
2023-01-18,320.0,Hong Kong Trail,outdoor,1,2,0.8974091708660126,1,1
