video_date,video_n,journey_n,avg_journey_sentiment,avg_journey_sentiment_frame,avg_stops_per_journey,total_stop_n,unique_poi_n,avg_stop_sentiment,total_edge_n
2024-10-21,136,136,0.7930470221512326,0.7966986446104465,2.036764705882353,277,73,0.7885648235504558,141
2024-10-22,92,92,0.7960833449447778,0.7933549201979919,2.1630434782608696,199,67,0.7765585245309121,107
2024-10-23,115,115,0.8188672828329518,0.818339908830471,1.8521739130434782,213,58,0.8014024645808611,98
2024-10-24,96,96,0.7885878504071502,0.788541551563879,2.1666666666666665,208,74,0.7587757427856499,112
2024-10-25,102,102,0.7622549781515283,0.7630617580069927,2.2254901960784315,227,78,0.7637291394506588,125
2024-10-26,93,93,0.8040890603488773,0.8083716010998855,2.3763440860215055,221,70,0.7931984089304613,128
2024-10-27,103,103,0.8114334196132269,0.8194509249144596,2.3398058252427183,241,79,0.784643460369135,138
2024-10-28,90,90,0.795002118658761,0.7961894957941091,2.2888888888888888,206,72,0.7819943391419093,116
2024-10-29,97,97,0.7897811587687394,0.7937300002894646,2.1752577319587627,211,73,0.790660271827756,114
2024-10-30,82,82,0.7793074237717775,0.7771869411292291,2.4146341463414633,198,63,0.7710296081456446,116
2024-10-31,111,111,0.7858952148871087,0.7902989596453733,1.936936936936937,215,74,0.7472031145337729,104
2024-11-01,88,88,0.78767739185461,0.7890410065496202,1.9204545454545454,169,64,0.7941913580295644,81
2024-11-02,95,95,0.7744723784972825,0.7776386075175078,2.2842105263157895,217,77,0.7570781492727942,122
2024-11-03,99,99,0.8009595147687256,0.8031295747314209,2.2525252525252526,223,71,0.7836067876453562,124
2024-11-04,95,95,0.7979507616839265,0.8029134968524503,2.0631578947368423,196,71,0.7809488114816137,101
2024-11-05,101,101,0.8080642796575885,0.8102108200335745,2.1485148514851486,217,79,0.8073529316049617,116
2024-11-06,99,99,0.8476564360722199,0.850828593349353,2.1717171717171717,215,72,0.8205702772974487,116
2024-11-07,104,104,0.8035762599601788,0.8119809846716038,2.1153846153846154,220,67,0.7857594191324365,116
2024-11-08,102,102,0.7732155890990292,0.7734211989055164,1.7549019607843137,179,65,0.7548751238453025,77
2024-11-09,92,92,0.8239589912022104,0.8242756094257581,2.358695652173913,217,64,0.7841971182857388,125
2024-11-10,117,117,0.8043737820057746,0.8092835230519457,1.982905982905983,232,63,0.7859345644671802,115
2024-11-11,99,99,0.782744380500984,0.7830446557442395,2.191919191919192,217,81,0.7367188811018467,118
2024-11-12,105,105,0.7611627369826848,0.7659708711349464,2.361904761904762,248,83,0.765274700150799,143
2024-11-13,102,102,0.7751344394185355,0.7829880002737305,1.8235294117647058,186,56,0.7527489285889962,84
2024-11-14,98,98,0.8046361031553342,0.8078280249439707,2.2346938775510203,219,79,0.7657659256002857,121
2024-11-15,86,86,0.80637987344367,0.8079046042983689,2.0,172,57,0.7980820666436592,86
2024-11-16,90,90,0.7319750737693322,0.7308309415526982,1.8777777777777778,169,61,0.7365388778119386,79
2024-11-17,100,100,0.8046517311379379,0.8123709067492186,2.19,219,63,0.784165137945489,119
2024-11-18,88,88,0.8018549081253673,0.8034104915214872,2.034090909090909,179,62,0.7692362472570311,91
2024-11-19,138,138,0.7600843953632382,0.7633413424890724,2.1666666666666665,299,87,0.7573040916381077,161
2024-11-20,88,88,0.7795110105756262,0.7844501819286069,2.1931818181818183,193,61,0.7726656618029889,105
2024-11-21,88,88,0.7748687651843742,0.7780062414337945,2.25,198,70,0.7683823408290598,110
2024-11-22,94,94,0.7753905798677289,0.781695896305778,2.425531914893617,228,78,0.7540147709284643,134
2024-11-23,84,84,0.7585809172700936,0.7647110170663295,2.2857142857142856,192,61,0.7420606684110148,108
2024-11-24,90,90,0.7761736650698541,0.7783410153796506,2.088888888888889,188,61,0.7539842648312426,98
2024-11-25,93,93,0.7905712218361413,0.78807505597281,2.4408602150537635,227,76,0.7511845932352325,134
2024-11-26,105,105,0.7898339279302137,0.7887596274401637,1.723809523809524,181,53,0.7608204183812192,76
2024-11-27,102,102,0.7821795697273024,0.7867570346006382,2.0098039215686274,205,74,0.7780668774313703,103
2024-11-28,91,91,0.8103152883063808,0.8133401311246136,1.835164835164835,167,62,0.7758444845623599,76
2024-11-29,90,90,0.7977923904611877,0.8047505384966158,2.1,189,61,0.8080033758408877,99
2024-11-30,95,95,0.8071699629836158,0.8118849077269883,1.9157894736842105,182,55,0.7869461470015069,87
2024-12-01,114,114,0.8326203453362547,0.8342125277025031,1.9736842105263157,225,65,0.8269601404680248,111
2024-12-02,121,121,0.8231338165662712,0.8297468723420746,2.190082644628099,265,81,0.8274102277215455,144
2024-12-03,131,131,0.803041018645356,0.8111811751185652,1.916030534351145,251,60,0.7958132039003694,120
2024-12-04,101,101,0.7987885418755529,0.8071658093478156,2.217821782178218,224,66,0.7920097062733172,123
2024-12-05,114,114,0.8320681091771163,0.8368659310977647,2.017543859649123,230,68,0.8097010505987919,116
2024-12-06,101,101,0.8274873552185169,0.8329413122624739,1.4455445544554455,146,47,0.806544275631726,45
2024-12-07,111,111,0.845683772696497,0.8460665202468232,1.9009009009009008,211,68,0.8111307778821105,100
2024-12-08,143,143,0.8213711514833139,0.824409083923093,1.5804195804195804,226,70,0.7988223795827666,83
2024-12-09,96,96,0.8304101798655465,0.8392054884478869,2.0520833333333335,197,50,0.8061672273182732,101
2024-12-10,113,113,0.823807925727659,0.831291579278858,1.9823008849557522,224,73,0.8061477019386718,111
2024-12-11,116,116,0.7859182637521445,0.790193467126699,2.5,290,94,0.7694266804329742,174
2024-12-12,98,98,0.857846207687072,0.8604251541928487,1.9081632653061225,187,59,0.8285587583617511,89
