video_date,origin_poi_id,origin_poi_name,origin_poi_cate,dest_poi_id,dest_poi_name,dest_poi_cate,flow_n,avg_edge_sentiment
2023-03-11,9,AKI Hotel ,hotel,964,Wan Chai,area,1,0.5283045694231987
2023-03-11,96,Causeway Bay,area,989,Wo Foo Commercial Building,city,1,0.8301740288734436
2023-03-11,295,Hong Kong Cultural Centre,cultural,9,AKI Hotel ,hotel,1,0.43863470293581486
2023-03-11,300,Hong Kong International Airport,transit,913,Tsing Ma Bridge,city,1,0.2773234248161316
2023-03-11,307,Hong Kong Observation Wheel,entertainment,913,Tsing Ma Bridge,city,1,0.4913534019142389
2023-03-11,451,Lantau Island,natural,584,Ngong Ping Village,cultural,1,0.3915444947779178
2023-03-11,451,Lantau Island,natural,629,Po Lin Monastery,religion,1,0.7597910910844803
2023-03-11,451,Lantau Island,natural,885,Tian Tan Buddha,religion,1,0.8277636766433716
2023-03-11,451,Lantau Island,natural,946,Victoria Peak,city,1,0.7446722040573757
2023-03-11,540,Mong Kok,area,295,Hong Kong Cultural Centre,cultural,1,0.2942021880298853
2023-03-11,580,Ngong Ping 360,entertainment,307,Hong Kong Observation Wheel,entertainment,1,0.7129296958446503
2023-03-11,584,Ngong Ping Village,cultural,451,Lantau Island,natural,1,0.3928882467250029
2023-03-11,629,Po Lin Monastery,religion,451,Lantau Island,natural,1,0.8605187386274338
2023-03-11,803,Tai Mo Shan,outdoor,451,Lantau Island,natural,1,0.7599759697914124
2023-03-11,870,The Peak Lookout,dining,946,Victoria Peak,city,1,0.833253026008606
2023-03-11,913,Tsing Ma Bridge,city,451,Lantau Island,natural,1,0.389400640502572
2023-03-11,913,Tsing Ma Bridge,city,907,Tsim Sha Tsui,area,1,0.4266408234834671
2023-03-11,946,Victoria Peak,city,451,Lantau Island,natural,1,0.7174912393093109
2023-03-11,946,Victoria Peak,city,870,The Peak Lookout,dining,1,0.8121311902999878
2023-03-12,451,Lantau Island,natural,629,Po Lin Monastery,religion,2,0.5952131990343332
2023-03-12,629,Po Lin Monastery,religion,451,Lantau Island,natural,1,0.4583648331463337
2023-03-12,629,Po Lin Monastery,religion,815,Tai Po,area,1,0.8078398406505585
2023-03-12,815,Tai Po,area,629,Po Lin Monastery,religion,1,0.7373766899108887
2023-03-12,913,Tsing Ma Bridge,city,944,Victoria Harbour,city,1,0.7923544272780418
2023-03-12,944,Victoria Harbour,city,913,Tsing Ma Bridge,city,1,0.7527746260166168
2023-03-13,37,Avenue Of Stars,city,296,Hong Kong Disneyland,entertainment,1,0.9463437227975755
2023-03-13,101,Central,area,307,Hong Kong Observation Wheel,entertainment,1,0.9286491274833679
2023-03-13,103,Central Ferry Pier,transit,37,Avenue Of Stars,city,1,0.9427376886208851
2023-03-13,125,Cheung Kong Center,city,873,The Peak Tram,entertainment,1,0.6906166076660156
2023-03-13,296,Hong Kong Disneyland,entertainment,342,Hyperspace Mountain,entertainment,1,0.3698705039918423
2023-03-13,296,Hong Kong Disneyland,entertainment,560,Mystic Manor,entertainment,1,0.7558750286698341
2023-03-13,296,Hong Kong Disneyland,entertainment,638,Prince's Building,city,1,0.6615436170250177
2023-03-13,296,Hong Kong Disneyland,entertainment,743,South Horizons,city,1,0.714932416876157
2023-03-13,296,Hong Kong Disneyland,entertainment,873,The Peak Tram,entertainment,1,0.9435205587318964
2023-03-13,296,Hong Kong Disneyland,entertainment,897,Tomorrowland,entertainment,1,0.7642364799976349
2023-03-13,296,Hong Kong Disneyland,entertainment,898,Toy Story Land,entertainment,1,0.8343538023182191
2023-03-13,296,Hong Kong Disneyland,entertainment,946,Victoria Peak,city,1,0.6195287853479385
2023-03-13,300,Hong Kong International Airport,transit,296,Hong Kong Disneyland,entertainment,1,0.5277026643355687
2023-03-13,307,Hong Kong Observation Wheel,entertainment,103,Central Ferry Pier,transit,1,0.9310541152954102
2023-03-13,342,Hyperspace Mountain,entertainment,296,Hong Kong Disneyland,entertainment,1,0.3724154416122474
2023-03-13,444,Lamma Island,natural,873,The Peak Tram,entertainment,1,0.15145737770944834
2023-03-13,494,Madame Tussauds,cultural,598,Ocean Park,entertainment,1,0.29951130026685335
2023-03-13,540,Mong Kok,area,598,Ocean Park,entertainment,1,0.7995230063263858
2023-03-13,540,Mong Kok,area,907,Tsim Sha Tsui,area,1,0.7561092135806878
