video_date,poi_id,poi_name,poi_cate,author_region,journey_n,stop_n,avg_stop_sentiment
2023-01-15,296.0,Hong Kong Disneyland,Entertainment,PH,1,2,0.948687955737114
2023-01-15,300.0,Hong Kong International Airport,Transit,US,1,1,0.14203725506862006
2023-01-15,584.0,Ngong Ping Village,Cultural,JP,1,1,0.7824760675430298
2023-01-15,629.0,Po Lin Monastery,Religious,JP,1,2,0.7196997903287411
2023-01-15,702.0,Sham Shui Po Government Primary School,School,US,1,1,0.023143427446484566
2023-01-16,434.0,LOUIS VUITTON,Shopping,FR,1,1,0.05835013464093208
2023-01-17,296.0,Hong Kong Disneyland,Entertainment,PH,1,1,0.8558417161305746
2023-01-17,300.0,Hong Kong International Airport,Transit,PH,1,2,0.3569841608405113
2023-01-17,743.0,South Horizons,Cityscape,US,1,1,0.9215345978736877
2023-01-17,834.0,Temple Street Night Market,Shopping,US,1,1,0.9154460072517395
2023-01-18,12.0,Aberdeen,area,US,1,1,0.7082167739669482
2023-01-18,300.0,Hong Kong International Airport,Transit,PH,1,1,0.07623946666717529
2023-01-18,320.0,Hong Kong Trail,Outdoor,US,1,2,0.9325010279814402
2023-01-18,434.0,LOUIS VUITTON,Shopping,PH,1,1,0.3659481108188629
2023-01-18,485.0,M+,Cultural,US,1,1,0.9452422261238098
2023-01-18,612.0,Pacific Place,Shopping,PH,1,1,0.9282658696174622
2023-01-18,632.0,Pok Fu Lam Reservoir Rd,Outdoor,US,1,1,0.6464784741401672
2023-01-18,871.0,The Peak Terminus,Transit,PH,1,1,0.2533939778804779
2023-01-18,873.0,The Peak Tram,Entertainment,PH,1,1,0.40729112178087234
2023-01-18,944.0,Victoria Harbour,Cityscape,PH,1,1,0.9062240719795227
2023-01-20,300.0,Hong Kong International Airport,Transit,PH,2,2,0.7374385893344879
2023-01-20,913.0,Tsing Ma Bridge,Cityscape,PH,1,1,0.9074291586875916
2023-01-22,304.0,Hong Kong Museum of Art,Cultural,US,1,1,0.6908779740333557
2023-01-22,850.0,The Grand Buffet,Dining,PH,1,1,0.0439511314034462
