video_date,poi_cate,journey_n,stop_n,avg_stop_sentiment
2023-02-14,Cityscape,2,2,0.8508358299732208
2023-02-14,Dining,1,1,0.8549284934997559
2023-02-14,Hotel,2,2,0.4897869825363159
2023-02-14,Transit,1,1,0.2404411039315164
2023-02-15,Cityscape,1,2,0.6626924599210421
2023-02-15,Cultural,1,1,0.9115358591079712
2023-02-15,Transit,1,1,0.9029662211736044
2023-02-16,Entertainment,1,1,0.6878539721171061
2023-02-16,area,1,1,0.567171573638916
2023-02-17,Transit,1,1,0.5627053815871477
2023-02-19,Cityscape,1,4,0.7004801854491234
2023-02-19,Shopping,1,1,0.2347366362810135
2023-02-19,Transit,1,1,0.22154313325881958
2023-02-20,Transit,1,1,0.36252912878990173
2023-02-21,Dining,1,1,0.7097209493319193
2023-02-21,Entertainment,2,2,0.7895251909891765
2023-02-21,Natural,1,1,0.763170599937439
2023-02-22,Cityscape,1,3,0.7847034434477488
2023-02-22,area,1,1,0.8776265382766724
2023-02-23,Cultural,1,2,0.9058563113212585
2023-02-23,Dining,1,1,0.8947747349739075
2023-02-23,Entertainment,1,3,0.7538242662946383
2023-02-23,Religious,1,1,0.9381142258644104
2023-02-23,Transit,1,1,0.5046584010124207
2023-02-23,area,1,4,0.5791486639529466
2023-02-24,Cityscape,2,2,0.7293890714645386
2023-02-24,Dining,1,1,0.5531536340713501
2023-02-24,Natural,1,1,0.913967490196228
2023-02-24,Outdoor,1,1,0.8492903411388397
2023-02-24,Transit,1,1,0.5607753992080688
2023-02-25,Cityscape,4,5,0.6120459616184235
2023-02-25,Dining,2,2,0.7063814634457231
2023-02-25,Entertainment,1,1,0.905106802781423
2023-02-25,Hotel,1,1,0.09566770493984222
2023-02-25,Shopping,2,2,0.13944349810481071
2023-02-25,Transit,2,5,0.4622172031232289
2023-02-25,area,3,5,0.6680103451013565
2023-02-26,Cityscape,3,10,0.6528641283512115
2023-02-26,Cultural,1,1,0.7676181793212891
2023-02-26,Dining,1,1,0.8851762413978577
