video_date,origin_poi_cate,dest_poi_cate,flow_n
2023-03-26,Natural,Cityscape,1
2023-03-26,Religious,Entertainment,1
2023-03-26,Transit,area,1
2023-03-26,area,Religious,1
2023-03-27,Cultural,Entertainment,1
2023-03-27,Dining,Dining,2
2023-03-27,Entertainment,Cultural,1
2023-03-28,Dining,Transit,1
2023-03-28,Dining,area,2
2023-03-28,Transit,Dining,1
2023-03-28,area,Cultural,1
2023-03-28,area,Dining,1
2023-03-28,area,area,1
2023-03-30,Cityscape,Transit,2
2023-03-30,Hotel,Dining,1
2023-03-30,Transit,Cityscape,2
2023-03-30,Transit,Hotel,1
2023-03-31,Cityscape,Cityscape,1
2023-03-31,Cityscape,Entertainment,1
2023-03-31,Religious,Religious,1
2023-03-31,Religious,area,1
2023-03-31,area,Religious,1
2023-04-01,Shopping,Religious,1
2023-04-02,Cityscape,Cityscape,2
2023-04-02,Cityscape,Cultural,2
2023-04-02,Cityscape,Entertainment,1
2023-04-02,Cityscape,Hotel,1
2023-04-02,Cityscape,Shopping,2
2023-04-02,Cityscape,Transit,1
2023-04-02,Cultural,Cityscape,1
2023-04-02,Cultural,Dining,1
2023-04-02,Cultural,Hotel,1
2023-04-02,Cultural,Natural,1
2023-04-02,Cultural,Shopping,2
2023-04-02,Dining,Cityscape,3
2023-04-02,Dining,Cultural,3
2023-04-02,Dining,Dining,6
2023-04-02,Dining,area,1
2023-04-02,Hotel,Dining,3
2023-04-02,Natural,Religious,1
2023-04-02,Religious,Religious,1
2023-04-02,Religious,area,1
2023-04-02,Shopping,Cityscape,1
2023-04-02,Shopping,Dining,2
2023-04-02,Transit,Cityscape,1
2023-04-02,Transit,Cultural,1
2023-04-02,Transit,Hotel,1
2023-04-02,area,Cityscape,1
2023-04-02,area,Dining,1
2023-04-02,area,area,2
2023-04-03,Cityscape,Dining,1
2023-04-04,Dining,Dining,1
2023-04-04,Dining,Entertainment,1
2023-04-04,Entertainment,Transit,1
2023-04-04,Transit,Dining,1
2023-04-05,Cityscape,Cityscape,1
2023-04-05,Hotel,Cityscape,1
2023-04-05,Transit,Hotel,1
2023-04-06,Cityscape,area,1
2023-04-06,Natural,Hotel,1
2023-04-06,Transit,Cityscape,1
2023-04-06,area,Natural,1
2023-04-08,Transit,Transit,2
2023-04-08,Transit,area,1
2023-04-09,Entertainment,Cityscape,1
2023-04-10,Cultural,Cultural,1
2023-04-10,Cultural,Dining,1
2023-04-10,Cultural,Entertainment,1
2023-04-10,Cultural,Hotel,1
2023-04-10,Cultural,area,1
2023-04-10,Dining,Shopping,1
2023-04-10,Entertainment,Cultural,2
2023-04-10,Entertainment,Entertainment,1
2023-04-10,Entertainment,Natural,3
2023-04-10,Hotel,area,1
2023-04-10,Natural,Entertainment,1
2023-04-10,Natural,Natural,2
2023-04-10,Natural,Religious,1
2023-04-10,Natural,Shopping,1
2023-04-10,Religious,Cultural,1
2023-04-10,Religious,Dining,1
2023-04-10,Shopping,Religious,1
2023-04-10,Transit,Cultural,1
2023-04-10,Transit,Transit,1
2023-04-10,area,Entertainment,1
2023-04-10,area,Natural,1
2023-04-11,Dining,Entertainment,2
2023-04-11,Entertainment,Religious,1
2023-04-11,Entertainment,area,1
2023-04-11,Religious,Shopping,1
2023-04-11,Shopping,Shopping,1
2023-04-11,area,Dining,1
2023-04-12,Cityscape,Cityscape,1
2023-04-12,Cityscape,Religious,2
2023-04-12,Entertainment,Cityscape,1
2023-04-12,Shopping,Cityscape,1
2023-04-13,Entertainment,Cityscape,1
2023-04-13,Entertainment,Entertainment,1
2023-04-13,Transit,Entertainment,1
2023-04-16,Cityscape,Shopping,1
2023-04-16,Natural,area,1
2023-04-16,Outdoor,Natural,1
2023-04-16,Shopping,Outdoor,1
2023-04-16,Shopping,Transit,1
2023-04-16,area,Cityscape,1
